"id";"gravity";"acceleration";"rotation";"attitude";"fallenDown";"date";"studentId"
1;"grav_x: 0.23, grav_y: 0.50, grav_z: -0.83";"acc_x: -0.02, acc_y: 0.09, acc_z: -0.12";"rota_x: 0.40, rota_y: -0.02, rota_z: 0.07";"atti_roll: 0.3, atti_pitch: -0.5, atti_yaw: 0.1";0;"2020-05-11 15:56:11";"student6C9Vrb"
2;"grav_x: 0.16, grav_y: 0.37, grav_z: -0.91";"acc_x: -0.02, acc_y: 0.01, acc_z: -0.03";"rota_x: -0.07, rota_y: -0.00, rota_z: 0.05";"atti_roll: 0.2, atti_pitch: -0.4, atti_yaw: -0.0";0;"2020-05-11 15:56:11";"studentLw1Im2"
3;"grav_x: 0.14, grav_y: 0.35, grav_z: -0.93";"acc_x: 0.01, acc_y: -0.02, acc_z: -0.00";"rota_x: 0.04, rota_y: 0.01, rota_z: -0.02";"atti_roll: 0.1, atti_pitch: -0.4, atti_yaw: -0.0";0;"2020-05-11 15:56:12";"studentmS8TJJ"
4;"grav_x: 0.14, grav_y: 0.34, grav_z: -0.93";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.01";"rota_x: 0.05, rota_y: 0.00, rota_z: -0.01";"atti_roll: 0.1, atti_pitch: -0.3, atti_yaw: -0.0";0;"2020-05-11 15:56:12";"studentQnSjNx"
5;"grav_x: 0.13, grav_y: 0.33, grav_z: -0.94";"acc_x: -0.00, acc_y: -0.01, acc_z: 0.00";"rota_x: -0.01, rota_y: -0.01, rota_z: -0.00";"atti_roll: 0.1, atti_pitch: -0.3, atti_yaw: -0.0";0;"2020-05-11 15:56:13";"studentMQodVe"
6;"grav_x: 0.13, grav_y: 0.32, grav_z: -0.94";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.01";"rota_x: -0.01, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.1, atti_pitch: -0.3, atti_yaw: -0.0";0;"2020-05-11 15:56:13";"studentKpMHYO"
7;"grav_x: 0.13, grav_y: 0.31, grav_z: -0.94";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.01";"rota_x: -0.01, rota_y: -0.01, rota_z: 0.00";"atti_roll: 0.1, atti_pitch: -0.3, atti_yaw: -0.0";0;"2020-05-11 15:56:14";"studentK1AQwI"
8;"grav_x: 0.15, grav_y: 0.25, grav_z: -0.96";"acc_x: -0.01, acc_y: -0.01, acc_z: 0.04";"rota_x: 0.33, rota_y: 0.12, rota_z: -0.08";"atti_roll: 0.2, atti_pitch: -0.2, atti_yaw: -0.1";0;"2020-05-11 15:56:14";"studentMoSPUW"
9;"grav_x: -0.21, grav_y: 0.90, grav_z: 0.38";"acc_x: 0.17, acc_y: -0.51, acc_z: 0.06";"rota_x: -5.53, rota_y: -3.59, rota_z: -1.16";"atti_roll: -2.6, atti_pitch: -1.1, atti_yaw: -2.1";0;"2020-05-11 15:56:15";"student6YUrGk"
10;"grav_x: 0.09, grav_y: -0.74, grav_z: -0.66";"acc_x: 0.08, acc_y: -0.03, acc_z: -0.02";"rota_x: -1.58, rota_y: -0.00, rota_z: 0.71";"atti_roll: 0.1, atti_pitch: 0.8, atti_yaw: -0.1";0;"2020-05-11 15:56:16";"studentUu78EW"
11;"grav_x: -0.30, grav_y: 0.95, grav_z: -0.12";"acc_x: 0.05, acc_y: 0.30, acc_z: 0.23";"rota_x: 7.11, rota_y: 1.65, rota_z: 0.33";"atti_roll: -1.2, atti_pitch: -1.2, atti_yaw: -1.1";0;"2020-05-11 15:56:16";"student6ZKKAp"
12;"grav_x: -0.00, grav_y: 0.93, grav_z: -0.36";"acc_x: -0.20, acc_y: 0.46, acc_z: 0.48";"rota_x: -14.83, rota_y: 0.57, rota_z: -1.24";"atti_roll: -0.0, atti_pitch: -1.2, atti_yaw: -0.3";0;"2020-05-11 15:56:17";"studentbX237c"
13;"grav_x: -0.40, grav_y: -0.25, grav_z: -0.88";"acc_x: 0.29, acc_y: -0.10, acc_z: 0.42";"rota_x: -0.36, rota_y: 1.86, rota_z: -0.47";"atti_roll: -0.4, atti_pitch: 0.3, atti_yaw: -1.3";0;"2020-05-11 15:56:17";"studentEdvQVp"
14;"grav_x: 0.03, grav_y: -0.52, grav_z: -0.85";"acc_x: 0.01, acc_y: -0.01, acc_z: -0.03";"rota_x: 0.12, rota_y: -0.00, rota_z: -0.04";"atti_roll: 0.0, atti_pitch: 0.6, atti_yaw: -0.0";1;"2020-05-11 15:56:20";"studentCs7j4G"
15;"grav_x: 0.01, grav_y: -0.56, grav_z: -0.83";"acc_x: 0.00, acc_y: -0.03, acc_z: 0.00";"rota_x: 0.23, rota_y: -0.00, rota_z: -0.21";"atti_roll: 0.0, atti_pitch: 0.6, atti_yaw: -0.1";0;"2020-05-11 15:56:20";"studentSF2o2v"
16;"grav_x: 0.04, grav_y: -0.59, grav_z: -0.80";"acc_x: 0.01, acc_y: -0.04, acc_z: -0.01";"rota_x: 0.14, rota_y: -0.20, rota_z: -0.34";"atti_roll: 0.0, atti_pitch: 0.6, atti_yaw: -0.2";0;"2020-05-11 15:56:20";"studentH7DYmL"
17;"grav_x: 0.01, grav_y: -0.61, grav_z: -0.79";"acc_x: 0.01, acc_y: -0.02, acc_z: -0.01";"rota_x: -0.05, rota_y: -0.03, rota_z: 0.01";"atti_roll: 0.0, atti_pitch: 0.7, atti_yaw: -0.3";0;"2020-05-11 15:56:21";"studentOT5nAA"
18;"grav_x: 0.01, grav_y: -0.62, grav_z: -0.78";"acc_x: 0.01, acc_y: -0.01, acc_z: 0.01";"rota_x: -0.05, rota_y: 0.00, rota_z: 0.08";"atti_roll: 0.0, atti_pitch: 0.7, atti_yaw: -0.3";0;"2020-05-11 15:56:23";"studentuk2WQM"
